Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value
Isaiah Roby,2.5149102,0.5812845,0.44060543,0.44316098,4.014805,10.555923
Paul Scruggs,1.8966832,1.2571416,0.50139236,0.21037361,4.407184,10.704214
Josh Sharkey,1.4168861,2.840988,0.71547854,0.12243926,3.764188,12.239687
Nike Sibande,1.4418246,0.7650628,0.34877646,0.12263778,4.8434024,9.135429
Justin Simon,1.4157511,0.48622224,0.23366322,0.12285419,3.2665427,6.76433
Derrik Smits,1.6274394,0.5415122,0.24980561,0.2661145,3.2949748,7.6079307
Lamar Stevens,2.486279,0.56977016,0.28951696,0.23448338,5.594507,11.004699
Marlon Taylor,2.182111,0.558825,0.48746908,0.26666075,4.616207,10.335367
Ethan Thompson,1.5995727,1.4641805,0.373223,0.13093545,3.9149861,9.54322
Killian Tillie,2.295977,0.9201783,0.5096703,0.2914363,4.1429768,10.681736
Donnie Tillman,2.100919,0.5768629,0.36697453,0.23035319,4.173103,9.351482
Tres Tinkle,2.9188585,1.634754,0.59799033,0.23414542,7.021495,15.472663
Justin Turner,1.4180121,1.4676787,0.488258,0.12252712,5.027574,10.7630625
Nick Ward,3.626391,0.5768058,0.3442895,0.3969895,6.258259,13.698974
Tremont Waters,1.7968098,3.3093095,0.9608186,0.1227286,7.50197,17.872747
Kaleb Wesson,3.1978672,0.97640365,0.5144379,0.34621686,6.4739003,14.357911
Coby White,2.2120736,2.2451997,0.60752636,0.1941989,7.7531233,16.180588
Joe Wieskamp,2.6806066,0.9277597,0.555913,0.30537304,6.0061655,13.198391
Lindell Wigginton,1.6825784,1.2946343,0.38113734,0.1518055,6.00862,11.568494
Kris Wilkes,2.0524905,0.8276449,0.36192882,0.16926636,5.8486757,11.146718
Emmitt Williams,3.606633,0.5629264,0.47231957,0.5169321,5.323436,13.463541
Grant Williams,3.2117999,1.0338014,0.4480688,0.43134782,6.7080374,14.751149
Zion Williamson,6.206818,2.3576474,1.0704749,0.81239724,13.016397,29.649666
Kenny Wooten,3.050606,0.6188549,0.4521097,0.72607267,4.019871,12.143428
