,Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
2187,Johnathan Motley,Baylor,102.0,77.0,24.3,4.7,9.0,0.519,4.6,8.6,0.535,0.1,0.5,0.24,2.5,3.9,0.654,2.7,3.7,6.4,1.3,0.4,1.2,2.0,3.0,12.0,10.32
2190,Marcus Paige,UNC,141.0,139.0,32.4,4.3,10.5,0.40700000000000003,2.1,4.8,0.446,2.1,5.7,0.374,2.5,3.0,0.848,0.4,2.4,2.8,4.3,1.4,0.2,1.9,1.7,13.3,9.72
2191,Justin Patton,Creighton,35.0,34.0,25.3,5.7,8.5,0.6759999999999999,5.5,8.0,0.6829999999999999,0.2,0.4,0.5329999999999999,1.3,2.5,0.517,1.7,4.5,6.2,1.2,0.9,1.4,1.7,2.7,12.9,8.95
2192,Brandon Paul,Illinois,138.0,87.0,26.6,3.8,9.8,0.384,2.2,5.1,0.439,1.5,4.7,0.325,2.9,4.0,0.7240000000000001,0.8,3.0,3.8,2.2,1.1,0.5,2.3,2.1,12.0,9.69
2193,London Perrantes,Virginia,138.0,134.0,32.1,2.9,7.1,0.405,1.3,3.4,0.4,1.5,3.7,0.409,1.6,2.0,0.812,0.3,2.4,2.7,4.1,0.9,0.1,1.5,1.3,8.9,9.43
2194,Alec Peters,Valparaiso,134.0,134.0,31.7,5.9,12.1,0.48700000000000004,3.7,6.9,0.539,2.2,5.2,0.41600000000000004,3.6,4.2,0.846,2.0,5.5,7.4,1.5,0.8,0.3,1.9,2.1,17.5,-0.95
2195,Jacob Pullen,Kansas State,135.0,115.0,29.5,4.8,11.9,0.408,2.6,5.7,0.45899999999999996,2.2,6.1,0.361,3.9,5.1,0.77,0.5,1.9,2.4,3.4,1.6,0.1,2.6,2.0,15.8,7.93
2197,Ivan Rabb,California,65.0,64.0,30.6,4.8,8.8,0.544,4.7,8.5,0.5489999999999999,0.1,0.3,0.409,3.5,5.2,0.6659999999999999,2.9,6.6,9.4,1.2,0.6,1.1,1.8,3.1,13.2,7.1
2198,Xavier Rathan-Mayes,Florida State,100.0,96.0,30.5,4.3,10.1,0.424,3.0,5.8,0.521,1.3,4.3,0.294,2.5,3.7,0.6659999999999999,0.5,2.7,3.2,4.5,1.0,0.0,2.6,2.1,12.4,8.02
2199,Davon Reed,Miami (FL),131.0,99.0,28.1,3.3,7.8,0.43,1.8,3.9,0.466,1.5,3.9,0.395,2.0,2.6,0.779,0.7,3.0,3.6,1.6,0.9,0.4,1.4,1.9,10.3,8.24
2200,Devin Robinson,Florida,105.0,71.0,23.0,3.2,7.1,0.45,2.2,4.2,0.527,1.0,2.8,0.336,1.6,2.2,0.7140000000000001,1.4,3.4,4.9,0.6,0.6,0.6,0.9,2.1,8.9,9.96
2201,Ben Simmons,LSU,33.0,32.0,34.9,6.5,11.7,0.56,6.5,11.6,0.561,0.0,0.1,0.33299999999999996,6.0,9.0,0.67,3.1,8.6,11.8,4.8,2.0,0.8,3.4,2.8,19.2,7.0
2202,Kobi Simmons,Arizona,37.0,19.0,23.5,3.0,7.6,0.395,2.1,4.9,0.43200000000000005,0.9,2.6,0.327,1.9,2.4,0.775,0.4,1.3,1.6,2.0,0.6,0.1,1.2,1.9,8.7,7.63
2204,Edmond Sumner,Xavier,58.0,49.0,26.6,3.5,8.2,0.429,2.9,6.0,0.483,0.6,2.2,0.285,3.7,5.1,0.73,0.5,3.0,3.5,3.8,1.2,0.4,2.2,2.3,11.4,9.81
2205,Caleb Swanigan,Purdue,69.0,69.0,29.2,5.1,10.2,0.501,4.2,7.9,0.537,0.9,2.3,0.376,3.3,4.4,0.76,2.2,8.2,10.4,2.4,0.4,0.5,3.0,2.5,14.4,8.12
2206,Jayson Tatum,Duke,29.0,27.0,33.3,5.7,12.6,0.452,4.3,8.6,0.504,1.4,4.0,0.342,4.1,4.8,0.8490000000000001,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,10.91
2207,Sindarius Thornwell,South Carolina,132.0,132.0,31.8,4.5,11.5,0.392,3.2,7.5,0.42,1.4,4.0,0.33899999999999997,4.3,5.6,0.7709999999999999,1.6,3.6,5.2,3.0,1.5,0.6,2.5,2.4,14.7,7.8
2208,Tyrone Wallace,California,129.0,114.0,31.6,4.6,11.0,0.415,3.6,7.9,0.46399999999999997,0.9,3.1,0.292,2.6,4.2,0.613,1.0,4.2,5.2,3.4,1.1,0.4,2.2,2.5,12.6,7.3
2209,Derrick Walton,Michigan,127.0,125.0,31.9,3.4,8.4,0.40399999999999997,1.6,3.8,0.409,1.8,4.6,0.401,2.9,3.5,0.8370000000000001,0.4,4.0,4.4,3.9,1.1,0.0,1.8,1.8,11.6,9.33
2211,James Webb,Boise State,63.0,58.0,29.0,5.0,9.6,0.518,3.8,6.1,0.628,1.2,3.6,0.33,2.3,3.4,0.6759999999999999,2.2,6.4,8.6,0.8,1.3,0.6,1.3,2.8,13.5,2.25
2212,Derrick White,Colorado,34.0,32.0,32.8,6.0,11.9,0.507,4.4,7.6,0.569,1.7,4.2,0.396,4.4,5.4,0.813,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,6.0
2214,Matt Williams,Colorado State,113.0,65.0,22.1,2.9,5.6,0.529,2.9,5.5,0.534,0.0,0.1,0.0,2.8,3.9,0.71,1.6,2.9,4.4,1.3,0.5,0.5,1.9,2.8,8.7,4.36
2216,Jaylen Adams,St. Bonaventure,110.0,108.0,36.3,4.8,11.3,0.42700000000000005,2.4,5.1,0.467,2.5,6.2,0.39399999999999996,5.3,6.3,0.838,0.5,2.8,3.4,5.4,1.5,0.2,2.9,2.6,17.4,1.82
2217,Deng Adel,Louisville,89.0,71.0,26.8,3.9,9.0,0.43799999999999994,2.8,5.7,0.489,1.1,3.3,0.348,2.2,2.9,0.7759999999999999,0.6,3.5,4.1,2.0,0.5,0.3,1.7,1.5,11.2,9.32
2218,DeVaughn Akoon-Purcell,Illinois State,60.0,48.0,27.2,4.6,10.7,0.428,3.8,8.0,0.47200000000000003,0.8,2.7,0.301,3.5,4.7,0.7390000000000001,1.7,3.6,5.3,1.6,1.0,0.3,2.3,1.9,13.5,2.73
2219,Rawle Alkins,Arizona,60.0,57.0,29.3,4.0,9.0,0.45,2.8,5.5,0.505,1.3,3.5,0.365,2.4,3.3,0.7290000000000001,1.7,3.2,4.9,2.2,1.0,0.6,2.1,2.2,11.8,7.24
2220,Grayson Allen,Duke,142.0,97.0,27.9,4.3,9.9,0.43,2.2,4.5,0.49,2.0,5.4,0.38,3.5,4.2,0.8340000000000001,0.5,2.6,3.2,3.0,1.0,0.1,1.7,2.1,14.1,10.27
2221,Kostas Antetokounmpo,Dayton,29.0,6.0,15.1,2.0,3.5,0.574,1.9,3.0,0.6509999999999999,0.1,0.5,0.133,1.1,2.2,0.516,0.8,2.0,2.9,0.4,0.2,1.1,1.3,2.3,5.2,2.7
2222,Deandre Ayton,Arizona,35.0,35.0,33.5,7.9,12.9,0.612,7.5,11.9,0.635,0.3,1.0,0.34299999999999997,4.0,5.5,0.733,3.4,8.2,11.6,1.6,0.6,1.9,2.0,2.3,20.1,6.84
2223,Mohamed Bamba,Texas,30.0,29.0,30.2,4.9,9.0,0.541,4.4,7.3,0.603,0.5,1.7,0.275,2.7,4.0,0.6809999999999999,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5,12.9,10.67
2224,Keita Bates-Diop,Ohio State,109.0,70.0,24.8,4.3,9.1,0.47200000000000003,3.2,5.9,0.537,1.1,3.2,0.35200000000000004,1.9,2.5,0.7759999999999999,1.1,4.6,5.7,1.1,0.6,1.2,1.2,1.4,11.7,7.69
2225,Jaron Blossomgame,Clemson,128.0,125.0,30.7,4.9,10.0,0.488,4.1,7.7,0.541,0.8,2.4,0.316,3.0,4.1,0.7240000000000001,1.9,4.6,6.5,1.1,0.6,0.7,1.5,1.6,13.5,7.5
2226,Jonah Bolden,UCLA,31.0,11.0,21.7,1.6,4.0,0.415,1.4,2.8,0.483,0.3,1.2,0.25,1.1,1.5,0.733,1.2,3.7,4.8,1.1,0.7,0.9,0.8,2.1,4.6,9.69
2227,Mikal Bridges,Villanova,116.0,73.0,27.3,3.9,7.5,0.525,2.5,3.8,0.645,1.5,3.7,0.4,1.9,2.3,0.845,1.1,3.2,4.3,1.6,1.4,0.9,1.1,2.2,11.3,9.74
2228,Miles Bridges,Michigan State,62.0,60.0,31.6,6.2,13.2,0.47,4.2,7.8,0.537,2.0,5.5,0.375,2.5,3.2,0.7759999999999999,1.4,6.2,7.6,2.4,0.6,1.1,2.1,1.7,17.0,8.8
2229,Isaiah Briscoe,Kentucky,70.0,69.0,31.3,4.2,9.3,0.455,3.9,7.9,0.495,0.3,1.4,0.22899999999999998,2.2,3.9,0.555,1.5,3.9,5.4,3.7,0.9,0.2,2.2,2.7,10.9,9.67
2230,Ryan Broekhoff,Valparaiso,134.0,107.0,27.2,3.8,8.2,0.46399999999999997,1.9,3.6,0.536,1.9,4.6,0.408,2.4,2.9,0.818,1.4,4.9,6.3,1.8,1.0,0.7,1.4,1.8,11.9,0.23
2233,Jalen Brunson,Villanova,116.0,115.0,28.9,5.0,9.8,0.51,3.5,5.9,0.5870000000000001,1.5,3.9,0.39299999999999996,2.9,3.5,0.82,0.4,2.1,2.5,3.7,0.8,0.0,1.9,1.8,14.4,9.74
2234,Deonte Burton,Nevada,130.0,128.0,33.8,5.0,11.4,0.439,3.6,7.2,0.498,1.4,4.2,0.337,4.8,6.4,0.7509999999999999,0.4,2.5,2.9,4.0,1.3,0.4,2.2,2.4,16.2,2.59
2235,Jevon Carter,West Virginia,144.0,112.0,29.9,4.1,10.0,0.40700000000000003,2.4,5.3,0.45299999999999996,1.7,4.7,0.355,2.4,3.0,0.7979999999999999,0.9,2.8,3.7,3.9,2.3,0.2,1.8,2.5,12.2,9.53
2237,Troy Caupain,Cincinnati,137.0,102.0,29.1,3.2,8.0,0.397,2.0,4.6,0.43799999999999994,1.1,3.3,0.33799999999999997,2.2,2.8,0.762,0.5,3.1,3.6,3.8,1.1,0.2,1.6,1.5,9.6,5.1
2238,Joe Chealey,College of Charleston,129.0,109.0,31.1,4.1,10.2,0.40399999999999997,2.7,6.2,0.44,1.4,4.0,0.34700000000000003,4.5,5.6,0.805,0.5,3.0,3.5,3.1,0.9,0.1,1.9,2.5,14.2,-1.66
2239,Chris Chiozza,Florida,139.0,65.0,25.1,2.5,6.3,0.391,1.5,3.5,0.445,0.9,2.9,0.327,1.5,2.0,0.747,0.4,2.8,3.2,4.1,1.4,0.1,1.6,2.1,7.4,9.99
2240,Gary Clark,Wake Forest,109.0,26.0,13.9,1.8,4.0,0.451,1.0,2.2,0.465,0.8,1.8,0.434,0.7,1.0,0.752,0.3,0.9,1.1,0.7,0.6,0.1,0.8,1.2,5.1,7.64
2241,Bonzie Colson,Notre Dame,125.0,82.0,25.1,4.9,9.2,0.528,4.5,8.1,0.552,0.4,1.1,0.35,2.9,3.8,0.772,2.1,5.1,7.2,1.0,1.0,1.2,1.0,2.0,13.1,8.58
2242,Tyler Davis,Dartmouth,43.0,0.0,3.4,0.4,1.3,0.29600000000000004,0.2,0.7,0.35700000000000004,0.1,0.6,0.231,0.5,0.8,0.629,0.2,0.4,0.6,0.2,0.2,0.1,0.3,0.9,1.4,-6.17
2243,Marcus Derrickson,Georgetown,89.0,73.0,25.7,3.3,7.2,0.45899999999999996,2.0,3.9,0.513,1.3,3.3,0.397,2.4,2.8,0.856,1.7,4.0,5.6,1.4,0.5,0.6,1.7,2.9,10.3,7.7
2244,Hamidou Diallo,Kentucky,37.0,37.0,24.8,3.6,8.5,0.428,2.9,6.4,0.45799999999999996,0.7,2.1,0.33799999999999997,2.1,3.4,0.616,0.9,2.8,3.6,1.2,0.8,0.4,1.4,2.6,10.0,10.73
2245,Donte DiVincenzo,Villanova,85.0,12.0,25.4,3.6,7.6,0.469,2.0,3.6,0.573,1.5,4.0,0.37799999999999995,1.6,2.2,0.705,1.1,2.9,4.0,2.4,0.9,0.2,1.6,1.8,10.2,9.74
2246,Trevon Duval,Duke,37.0,34.0,29.8,4.0,9.4,0.428,3.2,6.5,0.49,0.8,2.9,0.29,1.4,2.4,0.596,0.5,1.4,2.0,5.6,1.5,0.1,2.8,2.4,10.3,9.71
2249,Jacob Evans,Cincinnati,105.0,80.0,29.1,4.0,9.4,0.429,2.4,5.0,0.47600000000000003,1.7,4.4,0.377,2.0,2.7,0.755,1.3,3.0,4.3,2.5,1.1,0.9,1.3,2.0,11.7,4.75
2250,Melvin Frazier,Tulane,94.0,69.0,27.7,3.8,7.9,0.48100000000000004,3.0,5.2,0.5720000000000001,0.9,2.8,0.312,2.1,3.2,0.653,1.2,3.2,4.4,1.7,1.6,0.5,2.0,2.0,10.6,3.37
2251,Billy Garrett,DePaul,125.0,119.0,29.2,3.7,9.6,0.386,2.6,6.1,0.423,1.1,3.5,0.32299999999999995,4.5,5.4,0.841,0.3,2.4,2.7,3.5,0.9,0.2,2.6,2.8,13.1,7.77
2253,Shai Gilgeous-Alexander,Kentucky,37.0,24.0,33.7,4.9,10.2,0.485,4.3,8.6,0.5,0.6,1.5,0.40399999999999997,3.9,4.7,0.8170000000000001,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,10.73
2255,Donte Grantham,Clemson,114.0,113.0,30.2,3.5,8.5,0.414,2.1,4.3,0.494,1.4,4.2,0.33299999999999996,1.2,1.6,0.726,1.4,3.4,4.8,1.9,0.9,0.7,1.5,1.7,9.6,8.32
2257,Aaron Holiday,UCLA,101.0,65.0,31.8,4.7,10.5,0.45,2.9,6.2,0.469,1.8,4.2,0.42200000000000004,3.1,3.9,0.795,0.5,2.7,3.2,4.7,1.2,0.2,3.0,2.7,14.3,7.65
2258,Kevin Huerter,Maryland,65.0,65.0,31.9,4.2,9.0,0.466,2.1,3.6,0.5720000000000001,2.1,5.4,0.39399999999999996,1.5,2.0,0.748,0.8,4.2,5.0,3.0,0.8,0.7,1.9,2.1,12.0,8.11
2260,Chandler Hutchison,Boise State,123.0,89.0,24.0,4.3,8.9,0.47600000000000003,3.6,7.1,0.508,0.6,1.8,0.353,2.9,4.2,0.687,1.1,4.3,5.5,2.1,1.0,0.2,1.9,2.2,12.0,2.57
2263,Alize Johnson,Missouri State,66.0,66.0,30.7,5.2,11.3,0.457,3.9,7.5,0.523,1.2,3.8,0.325,3.3,4.6,0.716,3.2,7.9,11.1,2.4,0.5,0.3,2.3,2.3,14.9,0.82
2264,Jemerrio Jones,New Mexico State,68.0,33.0,26.4,4.4,8.8,0.503,4.3,7.8,0.547,0.1,1.0,0.138,1.4,2.5,0.573,3.3,7.5,10.8,3.1,1.1,0.6,2.2,2.5,10.4,-2.46
2265,George King,Colorado,127.0,89.0,22.6,3.5,7.9,0.444,2.1,4.3,0.478,1.4,3.6,0.401,1.8,2.4,0.731,1.4,3.9,5.4,0.7,0.4,0.3,1.5,1.8,10.2,7.36
2266,Kevin Knox,Kentucky,37.0,37.0,32.4,5.3,11.9,0.445,3.8,7.4,0.509,1.5,4.5,0.341,3.4,4.4,0.774,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6,10.73
2268,Jordan Loyd,Furman,28.0,13.0,21.0,2.0,5.4,0.36700000000000005,1.5,3.4,0.42700000000000005,0.5,1.9,0.259,1.5,2.2,0.6609999999999999,0.7,2.8,3.5,1.8,0.5,0.1,1.6,2.2,5.9,-4.6
2269,Daryl Macon,Arkansas,71.0,51.0,28.0,4.4,9.9,0.45,2.3,4.6,0.5,2.1,5.2,0.405,4.1,4.7,0.871,0.5,2.3,2.8,3.1,1.1,0.1,1.8,1.8,15.1,9.22
2270,Yante Maten,Georgia,128.0,97.0,27.9,5.1,10.6,0.483,4.7,9.5,0.493,0.5,1.1,0.40299999999999997,4.0,5.4,0.755,2.6,4.3,6.9,1.0,0.4,1.6,1.9,2.4,14.7,9.05
2272,Chimezie Metu,USC,104.0,71.0,27.0,4.8,8.9,0.5329999999999999,4.6,8.5,0.545,0.1,0.4,0.302,2.7,3.9,0.6920000000000001,1.8,4.5,6.3,1.2,0.7,1.6,1.7,2.5,12.3,6.78
2273,Sviatoslav Mykhailiuk,Kansas,136.0,70.0,22.6,3.1,7.3,0.428,1.4,3.0,0.455,1.7,4.3,0.409,0.7,1.0,0.746,0.7,1.8,2.5,1.5,0.7,0.2,1.1,1.7,8.7,11.86
2274,Josh Okogie,Georgia Tech,61.0,61.0,33.0,5.4,12.3,0.43700000000000006,4.3,9.4,0.45399999999999996,1.1,2.8,0.382,5.1,6.6,0.777,1.8,4.0,5.8,2.0,1.5,0.8,2.3,2.7,16.9,7.84
2275,Theo Pinson,UNC,122.0,58.0,21.7,2.1,5.0,0.431,1.8,3.5,0.504,0.4,1.5,0.257,1.6,2.2,0.7340000000000001,1.2,3.2,4.4,3.4,0.8,0.3,1.5,1.7,6.3,11.5
2276,Cameron Reynolds,Tulane,135.0,69.0,26.3,3.6,9.3,0.387,2.2,5.1,0.43200000000000005,1.4,4.3,0.33399999999999996,1.5,2.1,0.716,0.9,3.5,4.5,1.2,0.6,0.3,1.2,2.2,10.1,1.74
2277,Duncan Robinson,Michigan,115.0,49.0,24.9,3.1,6.8,0.455,1.0,1.9,0.545,2.1,4.9,0.419,1.1,1.2,0.8640000000000001,0.5,2.1,2.5,1.2,0.6,0.3,0.7,2.2,9.3,9.16
2278,Jerome Robinson,Bradley,113.0,68.0,25.1,2.7,6.2,0.44,1.9,3.9,0.47700000000000004,0.8,2.3,0.375,2.1,2.8,0.741,0.6,3.6,3.2,1.8,0.8,0.6,1.5,1.8,8.4,3.22
2279,Brandon Sampson,LSU,85.0,40.0,20.2,2.7,6.0,0.442,1.7,2.9,0.5660000000000001,1.0,3.1,0.324,1.6,2.2,0.745,0.5,1.8,2.3,1.0,0.6,0.2,1.3,1.4,7.9,7.91
2280,Collin Sexton,Alabama,33.0,32.0,29.9,5.9,13.3,0.447,4.6,9.3,0.495,1.3,4.0,0.336,5.9,7.6,0.778,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,10.64
2281,Landry Shamet,Wichita State,71.0,68.0,28.6,4.2,8.7,0.48,1.9,3.6,0.542,2.2,5.1,0.43700000000000006,2.3,2.8,0.8109999999999999,0.5,2.5,3.0,4.1,0.8,0.2,1.5,2.1,12.9,4.22
2283,Zhaire Smith,Texas Tech,37.0,21.0,28.4,4.2,7.5,0.556,3.7,6.4,0.574,0.5,1.1,0.45,2.5,3.4,0.7170000000000001,2.2,2.8,5.0,1.8,1.1,1.1,1.1,1.8,11.3,9.6
2284,Omari Spellman,Villanova,40.0,39.0,28.1,4.0,8.4,0.47600000000000003,2.4,4.7,0.511,1.6,3.8,0.433,1.2,1.8,0.7,2.3,5.8,8.0,0.8,0.7,1.5,1.0,2.3,10.9,10.24
2285,Jared Terrell,Rhode Island,134.0,131.0,31.6,4.4,10.8,0.406,2.9,6.8,0.43,1.4,3.9,0.365,2.9,3.8,0.763,0.7,2.3,3.0,2.1,1.3,0.2,1.7,2.6,13.1,3.85
2286,Khyri Thomas,Creighton,102.0,95.0,27.2,4.2,8.2,0.511,2.9,5.1,0.578,1.3,3.2,0.406,1.5,2.1,0.7190000000000001,1.1,3.5,4.6,2.5,1.4,0.3,1.6,1.8,11.2,7.83
2287,Allonzo Trier,Arizona,78.0,67.0,31.5,5.1,10.6,0.479,3.2,5.7,0.5660000000000001,1.8,4.9,0.37799999999999995,4.7,5.7,0.8270000000000001,0.4,3.3,3.7,2.4,0.5,0.2,2.0,1.8,16.8,7.23
2288,Jarred Vanderbilt,Kentucky,14.0,0.0,17.0,2.1,4.9,0.426,2.1,4.8,0.433,0.0,0.1,0.0,1.7,2.7,0.632,3.3,4.6,7.9,1.0,0.4,0.8,1.1,2.6,5.9,10.73
2289,Moritz Wagner,Michigan,107.0,77.0,21.0,3.9,7.2,0.547,2.9,4.5,0.643,1.0,2.7,0.385,1.5,2.2,0.698,1.2,3.3,4.5,0.5,0.8,0.4,1.2,2.5,10.4,9.16
2290,Brad Wanamaker,Pitt,134.0,68.0,23.5,2.7,6.1,0.43700000000000006,2.2,4.6,0.466,0.5,1.5,0.344,2.3,3.2,0.722,0.9,3.0,3.9,3.4,1.0,0.2,1.9,2.1,8.1,7.92
2291,Julian Washburn,UTEP,130.0,126.0,34.2,4.6,10.5,0.435,3.6,7.8,0.46799999999999997,0.9,2.7,0.341,1.7,2.5,0.6990000000000001,0.8,3.0,3.8,2.1,0.9,0.4,1.6,1.8,11.7,1.19
2292,Yuta Watanabe,George Washington,134.0,107.0,30.1,3.8,8.9,0.425,2.6,5.5,0.48100000000000004,1.2,3.5,0.337,2.1,2.7,0.7879999999999999,1.1,3.4,4.5,1.5,0.7,1.1,1.3,1.8,10.9,2.82
2293,Thomas Welsh,UCLA,132.0,94.0,25.0,4.0,7.5,0.537,3.7,6.6,0.5539999999999999,0.3,0.9,0.40700000000000003,1.0,1.3,0.7979999999999999,2.4,5.5,7.8,0.8,0.4,1.1,0.7,2.5,9.5,7.8
2295,Kenrich Williams,TCU,102.0,85.0,32.2,4.1,8.4,0.484,3.1,5.8,0.5329999999999999,1.0,2.6,0.375,1.9,3.0,0.625,3.0,5.6,8.6,2.7,1.4,0.7,1.4,2.5,11.0,8.65
2297,Trae Young,Oklahoma,32.0,32.0,35.4,8.2,19.3,0.42200000000000004,4.5,9.1,0.493,3.7,10.3,0.36,7.4,8.6,0.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,10.56
