,Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
2076,Buddy Hield,Oklahoma,132.0,118.0,31.7,5.9,13.2,0.44799999999999995,3.3,6.5,0.508,2.6,6.8,0.39,2.8,3.4,0.836,1.6,3.4,5.0,1.9,1.3,0.3,2.2,2.0,17.4,9.28
2078,Brandon Ingram,Duke,36.0,34.0,34.6,5.9,13.4,0.442,3.7,8.0,0.46399999999999997,2.2,5.4,0.41,3.2,4.7,0.682,1.9,4.9,6.8,2.0,1.1,1.4,2.0,2.1,17.3,10.59
2079,Demetrius Jackson,Pacific,57.0,50.0,29.1,4.2,10.4,0.402,2.5,5.6,0.447,1.7,4.8,0.348,3.3,4.0,0.8370000000000001,0.4,2.4,2.8,3.3,1.1,0.1,3.4,2.6,13.4,-1.12
2080,Pierre Jackson,Baylor,74.0,55.0,32.8,5.3,11.9,0.441,3.1,6.4,0.496,2.1,5.6,0.379,4.0,5.0,0.8079999999999999,0.8,2.5,3.3,6.5,1.6,0.0,3.5,2.3,16.7,7.58
2082,Damian Jones,Vanderbilt,99.0,95.0,27.1,5.1,9.1,0.5660000000000001,5.1,9.0,0.57,0.0,0.1,0.125,3.0,5.3,0.565,2.1,4.3,6.4,0.7,0.4,1.7,2.0,3.0,13.3,7.13
2084,Skal Labissiere,Kentucky,36.0,18.0,15.8,2.7,5.3,0.516,2.7,5.2,0.521,0.0,0.1,0.0,1.1,1.7,0.6609999999999999,1.0,2.2,3.1,0.3,0.3,1.6,0.9,3.0,6.6,8.84
2085,Jake Layman,Maryland,141.0,115.0,27.9,3.4,7.7,0.445,2.0,3.8,0.53,1.4,3.9,0.36200000000000004,1.9,2.6,0.759,1.1,3.7,4.8,1.1,0.9,0.8,1.4,1.9,10.2,7.17
2086,Caris LeVert,Michigan,103.0,70.0,26.4,3.6,8.2,0.434,2.3,4.9,0.456,1.3,3.2,0.401,2.0,2.6,0.77,0.4,3.2,3.5,2.7,0.9,0.2,1.3,1.5,10.4,9.3
2087,Shawn Long,Louisiana,135.0,131.0,29.8,6.5,12.8,0.503,5.6,10.4,0.541,0.8,2.4,0.341,3.6,5.3,0.6759999999999999,3.4,7.3,10.7,1.1,0.7,2.0,2.4,3.1,17.3,-2.01
2088,Patrick McCaw,UNLV,65.0,48.0,31.7,4.2,9.6,0.439,2.3,4.3,0.527,1.9,5.2,0.36700000000000005,1.9,2.5,0.753,0.9,3.3,4.2,3.3,2.0,0.4,1.9,1.9,12.2,3.28
